Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1871,1871.000,209,304,543,529,669,803,978,1220,6390
1,2414,2414.000,198,234,418,411,558,607,649,963,2981
2,2402,2402.000,197,229,488,414,556,602,638,957,1475
3,2472,2472.000,197,225,467,402,553,612,652,756,1227
4,2385,2385.000,197,234,463,417,569,634,684,847,1327
5,2610,2610.000,201,225,288,381,533,569,593,651,783
6,2607,2607.000,193,219,446,382,529,563,587,692,1856
7,2697,2697.000,188,211,301,369,523,552,569,625,952
8,2654,2654.000,187,215,453,375,524,556,573,625,731
9,2591,2591.000,190,217,434,384,527,559,587,904,1076
10,2562,2562.000,191,219,461,388,538,571,597,697,999
11,2652,2652.000,191,214,456,375,526,552,571,605,729
12,2711,2711.000,189,212,274,367,523,551,567,601,1684
13,2661,2661.000,189,213,378,374,524,554,575,643,987
14,2678,2678.000,188,209,456,372,520,547,563,593,3908
15,2567,2567.000,186,235,284,387,547,578,596,637,707
16,2460,2460.000,191,249,452,404,546,587,619,917,1047
17,2644,2644.000,190,215,289,376,529,566,591,640,1770
18,2707,2707.000,186,210,285,368,522,552,569,614,803
19,2663,2663.000,188,212,333,374,525,555,577,699,970
20,2500,2500.000,191,221,467,398,539,583,608,804,983
21,2614,2614.000,191,214,460,381,523,549,570,854,3153
22,2491,2491.000,188,213,454,400,525,576,825,941,1861
23,2614,2614.000,188,211,455,381,522,550,575,900,1000
24,2554,2554.000,192,218,461,390,536,572,598,699,973
25,2460,2460.000,197,260,302,405,558,589,610,647,755
26,2443,2443.000,195,262,326,408,560,586,602,630,716
27,2457,2457.000,192,258,478,405,554,585,603,652,2380
28,2625,2625.000,193,218,332,379,536,566,584,626,735
29,2672,2672.000,194,214,414,373,527,552,567,595,869
30,2600,2600.000,192,218,373,383,533,567,588,643,1452
31,2668,2668.000,190,212,461,373,524,548,563,595,987
32,2579,2579.000,190,214,458,386,524,561,595,923,2596
33,2513,2513.000,188,212,344,396,526,577,837,944,1053
34,2637,2637.000,189,214,457,378,528,558,579,639,948
35,2687,2687.000,187,212,327,371,521,552,572,694,977
36,2590,2590.000,191,222,464,384,529,558,579,698,920
37,2593,2593.000,189,222,469,384,531,561,580,654,951
38,2616,2616.000,190,217,462,381,531,558,580,628,2693
39,2631,2631.000,187,213,452,378,529,561,581,777,1001
40,2652,2652.000,189,216,291,375,530,564,582,618,766
41,2638,2638.000,188,217,307,377,532,568,594,658,809
42,2539,2539.000,191,217,363,392,548,600,642,790,1437
43,2531,2531.000,190,219,344,394,546,608,651,765,2290
44,2592,2592.000,188,214,463,385,528,559,583,843,981
45,2511,2511.000,190,254,376,397,547,590,607,654,963
46,2624,2624.000,192,214,462,380,526,559,584,667,1312
47,2612,2612.000,191,216,469,382,531,561,585,643,832
48,2464,2464.000,196,255,468,405,552,584,601,646,2534
49,2599,2599.000,197,226,288,384,542,573,592,632,731
50,2562,2562.000,201,233,297,390,544,578,601,653,729
51,2462,2462.000,194,260,366,405,553,587,608,771,963
52,2667,2667.000,187,210,320,374,520,552,580,894,998
53,2659,2659.000,185,212,452,375,522,553,575,674,2661
54,2544,2544.000,189,235,328,392,542,578,596,644,847
55,2694,2694.000,186,211,308,370,525,555,573,626,780
56,2766,2766.000,189,207,262,361,517,545,564,674,1014
57,2628,2628.000,189,216,462,380,525,553,573,643,963
58,2726,2726.000,189,209,288,366,518,544,563,658,2912
59,2648,2648.000,184,216,301,376,537,566,584,616,705
